timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter,lat_x,lon_x,alt_x,alt_ellipsoid_x,delta_alt,eph_x,epv_x,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning,time_utc_usec,lat_y,lon_y,alt_y,alt_ellipsoid_y,s_variance_m_s,c_variance_rad,eph_y,epv_y,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading_offset,fix_type,vel_ned_valid,satellites_used,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading_y,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,label
258725029,-0.3252074,0.010554437,-0.006517632,0.94556135,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.20481158,138.2529156,51.336754,86.740776,0,2.718645,3.9270613,51.236664,2,0,1,0,0,362048117,1382529164,49204,86300,0.321,2.0173786,2.039,3.0080001,0.84,1.3,102,47,0.020000001,0.011000001,-0.017,0.042000003,0,0,0,3,1,11,36.2048055,138.2529121,0.6761299,0.31770122,0.3620774,-0.015382085,0.016268428,0,0.005889217,0.0051052393,0.06879349,-0.00041353144,-0.031618506,-0.00430735,-0.337511,0.036738064,0.019048331,0.022897149,-2.478927,0.0064747804,51.69883,0.100087196,0.5067431,0.3762028,0.14663771,0.08083571,1,1,1,1,2,0,2,1,3,1,1,1,benign
258842609,-0.3252074,0.010554437,-0.006517632,0.94556135,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.20481158,138.2529156,51.336754,86.740776,0,2.718645,3.9270613,51.236664,2,0,1,0,0,362048117,1382529164,49200.6,86296.6,0.321,2.01737874,2.0384,3.00740008,0.84,1.3,102,47,0.0176000008,0.00980000088,-0.0148,0.0440000024,0,0,0,3,1,11,36.2048055,138.2529121,0.6761299,0.31770122,0.3620774,-0.015382085,0.016268428,0,0.005889217,0.0051052393,0.06879349,-0.00041353144,-0.031618506,-0.00430735,-0.337511,0.036738064,0.019048331,0.022897149,-2.478927,0.0064747804,51.69883,0.100087196,0.5067431,0.3762028,0.14663771,0.08083571,1,1,1,1,2,0,2,1,3,1,1,1,benign
258847608,-0.3252074,0.010554437,-0.006517632,0.94556135,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.20481158,138.2529156,51.3366185,86.740643,0,2.7187095,3.927086,51.2363185,2,0,1,0,0,362048117,1382529164,49197.2,86293.2,0.321,2.01737888,2.0378,3.00680006,0.84,1.3,102,47,0.0152000006,0.00860000076,-0.0126,0.0460000018,0,0,0,3,1,11,36.2048055,138.2529121,0.67622478,0.317630395,0.36221137,-0.015382085,0.016268428,0,0.00593595935,0.00508592835,0.068870682,-0.0002038815595,-0.031618506,-0.00430735,-0.337511,0.0209719185,0.01643981,0.023494433,-2.47893015,0.0064747804,51.69883,0.1002990905,0.50708897,0.37646023,0.146858335,0.080882985,1,1,1,1,2,0,2,1,3,1,1,1,benign
258852607,-0.32520434,0.010556366,-0.006516953,0.9455624,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.20481158,138.2529156,51.336483,86.74051,0,2.718774,3.9271107,51.235973,2,0,1,0,0,362048117,1382529164,49193.8,86289.8,0.321,2.01737902,2.0372,3.00620004,0.84,1.3,102,47,0.0128000004,0.00740000064,-0.0104,0.0480000012,0,0,0,3,1,11,36.2048055,138.2529121,0.67631966,0.31755957,0.36234534,-0.015382085,0.016268428,0,0.0059827017,0.0050666174,0.068947874,5.77E-06,-0.031618506,-0.00430735,-0.337511,0.005205773,0.013831289,0.024091717,-2.4789333,0.0064747804,51.69883,0.100510985,0.50743484,0.37671766,0.14707896,0.08093026,1,1,1,1,2,0,2,1,3,1,1,1,benign
258902598,-0.32521376,0.010552205,-0.0065011843,0.9455594,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.20481159,138.2529156,51.335785,86.738014,0,2.718747,3.92709048,51.2362134,2,0,1,0,0,362048117,1382529164,49190.4,86286.4,0.321,2.01737916,2.0366,3.00560002,0.84,1.3,102,47,0.0104000002,0.00620000052,-0.0082,0.0500000006,0,0,0,3,1,11,36.2048055,138.2529121,0.67690314,0.3171499367,0.3629628733,-0.015382085,0.016268428,0,0.0057204968,0.002702197133,0.06991472933,0.001516103214,-0.031618506,-0.00430735,-0.337511,-0.2575728847,-0.2514371873,0.2173937347,-2.479119433,0.0064747804,51.69883,0.1003406567,0.5098152133,0.3769914333,0.1485616867,0.08111772,1,1,1,1,2,0,2,1,3,1,1,1,benign
258922223,-0.325076355,0.0106009495,-0.0065111888,0.945606,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.20481159,138.2529156,51.335087,86.735518,0,2.71872,3.92707026,51.2364538,2,0,1,0,0,362048117,1382529164,49187,86283,0.321,2.0173793,2.036,3.005,0.84,1.3,102,47,0.008,0.0050000004,-0.006,0.052,0,0,0,3,1,11,36.2048055,138.2529121,0.67748662,0.3167403033,0.3635804067,-0.015382085,0.016268428,0,0.0054582919,0.0003377768667,0.07088158467,0.003026438107,-0.031618506,-0.00430735,-0.337511,-0.5203515423,-0.5167056637,0.4106957523,-2.479305567,0.0064747804,51.69883,0.1001703283,0.5121955867,0.3772652067,0.1500444133,0.08130518,1,1,1,1,2,0,2,1,3,1,1,1,benign
258952588,-0.32493895,0.010649694,-0.0065211933,0.9456526,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.2048116,138.2529156,51.334389,86.733022,0,2.718693,3.92705004,51.2366942,2,0,1,0,0,362048116.9,1382529164,49186.25,86282.25,0.320250001,2.01737936,2.03540001,3.0044,0.84,1.3,102,47.1,0.00850000005,0.00395000038,-0.00524999995,0.0554500005,0,0,0,3,1,11,36.2048055,138.2529121,0.6780701,0.31633067,0.36419794,-0.015382085,0.016268428,0,0.005196087,-0.0020266434,0.07184844,0.004536773,-0.031618506,-0.00430735,-0.337511,-0.7831302,-0.78197414,0.60399777,-2.4794917,0.0064747804,51.69883,0.1,0.51457596,0.37753898,0.15152714,0.08149264,1,1,1,1,2,0,2,1,3,1,1,1,benign
258997580,-0.32523155,0.010716877,-0.006385304,0.9455522,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.2048116,138.2529156,51.333691,86.730526,0,2.718666,3.92702982,51.2369346,2,0,1,0,0,362048116.8,1382529164,49185.5,86281.5,0.319500002,2.01737942,2.03480002,3.0038,0.84,1.3,102,47.2,0.0090000001,0.00290000036,-0.0044999999,0.058900001,0,0,0,3,1,11,36.2048055,138.2529121,0.6787584,0.31597927,0.3650167,-0.015382085,0.016268428,0,0.006558302,0.0016770755,0.07146244,0.00476189375,-0.031618506,-0.00430735,-0.337511,-0.437258675,-0.24681757,0.29570855,-2.47888825,0.0064747804,51.69883,0.1,0.510642945,0.37660044,0.14927672,0.081153292,1,1,1,1,2,0,2,1,3,1,1,1,benign
259042573,-0.325364245,0.0106522285,-0.0063880315,0.9455072,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.20481161,138.2529156,51.332993,86.72803,0,2.718639,3.9270096,51.237175,2,0,1,0,0,362048116.7,1382529164,49184.75,86280.75,0.318750003,2.01737948,2.03420003,3.0032,0.84,1.3,102,47.3,0.00950000015,0.00185000034,-0.00374999985,0.0623500015,0,0,0,3,1,11,36.2048055,138.2529121,0.6794467,0.31562787,0.36583546,-0.015382085,0.016268428,0,0.007920517,0.0053807944,0.07107644,0.0049870145,-0.031618506,-0.00430735,-0.337511,-0.09138715,0.288339,-0.01258067,-2.4782848,0.0064747804,51.69883,0.1,0.50670993,0.3756619,0.1470263,0.080813944,1,1,1,1,2,0,2,1,3,1,1,1,benign
259047572,-0.32549694,0.01058758,-0.006390759,0.9454622,0.9999948,-4.61E-10,1.58E-09,0.0032373846,3,36.20481162,138.2529156,51.3325398,86.7257712,0,2.71863154,3.92700302,51.237545,2,0,1,0,0,362048116.6,1382529164,49184,86280,0.318000004,2.01737954,2.03360004,3.0026,0.84,1.3,102,47.4,0.0100000002,0.00080000032,-0.0029999998,0.065800002,0,0,0,3,1,11,36.2048055,138.2529121,0.6799124667,0.31542742,0.3663859867,-0.015382085,0.016268428,0,0.008557716333,0.0050328596,0.07113930667,0.0053477432,-0.031618506,-0.00430735,-0.337511,0.01964168,0.2711467,-0.05883493,-2.4785226,0.0064747804,51.69883,0.1,0.50933341,0.3761035833,0.1486624367,0.08103169933,1,1,1,1,2,0,2,1,3,1,1,1,benign
