timestamp,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],lat,lon,alt,alt_ellipsoid,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,gps_hvel[0]_ratio,gps_hvel[1]_ratio,gps_vvel_ratio,gps_hpos[0]_ratio,gps_hpos[1]_ratio,gps_vpos_ratio,gps_hvel[0]_var,gps_hvel[1]_var,gps_vvel_var,gps_hpos[0]_var,gps_hpos[1]_var,gps_vpos_var,gps_hvel[0]_inn,gps_hvel[1]_inn,gps_vvel_inn,gps_hpos[0]_inn,gps_hpos[1]_inn,gps_vpos_inn,lat_glob,lon_glob,alt_glob,alt_ellipsoid_glob,eph_glob,epv_glob,x_loc,y_loc,z_loc,vx_loc,vy_loc,vz_loc,eph_loc,epv_loc,evh_loc,heading_loc,class
492098218,0.06532089,0.06011066,-0.07639757,0.2790714,0.0,0.0,0.0,-1.0,362048121,1382529181,48376,85473,1.3440001,2.1430001,0.71,1.2099999,100,36,0.007,-0.003,-0.007,0.003,2.734358,0.0057222308,4.292872e-06,6.230416e-05,3.7632096e-06,0.0094561055,0.0,0.10093274,0.10093434,0.21218905,1.8807939,1.8807939,0.0,-0.120162435,0.1051989,0.018179838,-0.013302088,-0.010282338,0.0,36.20481176543155,138.2529184210888,44.198864,85.43049,2.2467518,4.3704042,2.631361,0.18020865,0.05254706,-0.11979271,0.10434404,0.044746198,0.39722243,0.38583857,0.13876405,-2.4957995,gps jamming
547797869,0.23429058,-0.21293171,0.3580812,0.17309375,0.0,0.0,0.0,-1.0,362047962,1382529145,51406,88503,5.7180004,9.294001,0.75,1.2099999,157,33,0.34100002,-0.172,-0.29500002,-0.72300005,2.8430917,0.034011476,2.3165894e-06,0.0056494214,0.0032445884,0.015578041,0.0,1.0078728,1.0078638,2.1547654,33.827335,33.827263,0.0,0.88306487,0.92572856,0.5516606,1.6564705,-0.017723665,0.0,36.20481268077766,138.2529190865166,43.743305,87.02074,2.6634643,4.380682,2.7332578,0.24104603,0.50936764,-0.16012226,0.9092247,0.057675697,1.4865873,0.49169648,0.3309337,-2.980697,gps jamming
814459331,0.19364612,0.08033372,-0.09169693,0.25676933,0.0,0.0,0.0,-1.0,362048115,1382529234,37980,75076,2.043,3.0430002,0.77,1.3299999,97,17,0.020000001,0.003,0.020000001,-0.14600001,2.139812,0.0005305075,5.6775766e-06,0.0012808559,0.00012928565,0.011325893,0.0,0.13252755,0.13252805,0.28367695,4.321232,4.321233,0.0,-0.015855113,-0.04192467,0.09530862,0.11818135,0.0033517778,0.0,36.20481264328284,138.25292357724445,52.96572,75.17891,2.8059208,4.169745,-0.58875203,0.35404262,-4.007125,-0.08586046,0.048224654,-0.07765573,0.5408008,0.40825918,0.14888483,-2.3023462,benign flight
807060145,0.019612443,0.042743124,-0.09084316,0.26600686,0.0,0.0,0.0,-1.0,362048135,1382529237,37991,75088,2.0770001,3.051,0.77,1.3299999,96,35,0.07,-0.006,-0.07,0.019000001,2.139812,0.00024566965,6.707147e-06,0.0004874229,0.00038162063,0.013229619,0.0,0.26126027,0.26125965,0.56430495,4.5084825,4.508482,0.0,-0.021304982,0.040057324,0.082923934,0.20739636,-0.06540793,0.0,36.20481550860188,138.25292294590793,52.844074,75.0081,2.8104763,4.170494,-0.27574053,0.28732422,-3.8955486,0.048720896,0.122644775,0.013490934,0.5457223,0.41093007,0.17851895,-2.3196423,benign flight
392099372,0.06912885,0.059418015,-0.07154519,0.27640012,0.0,0.0,0.0,-1.0,362048051,1382529241,49163,86259,1.6890001,2.5700002,0.71,1.2099999,102,32,0.055000003,-0.029000001,-0.047000002,0.037,1.9975964,0.0039920965,5.561859e-06,0.035860773,0.00018931845,0.011106045,0.0,0.10152119,0.10152158,0.21395119,2.9611657,2.9611657,0.0,-0.10065813,-0.051754575,-0.43796277,-0.118385315,-0.06840205,0.0,36.20480399987828,138.25292342329806,44.90254,86.72217,2.2595875,4.370963,1.7637717,0.62804675,-0.66176087,-0.05250101,-0.016984401,-0.16818501,0.46456462,0.39498392,0.14270777,-2.514111,gps jamming
638059440,0.17493118,0.050377637,-0.043208007,0.2424401,0.0,0.0,0.0,-1.0,362048181,1382529163,39669,76765,2.4840002,3.7870002,0.77,1.35,102,30,0.011000001,0.011000001,0.003,0.017,6.1633263,0.0023267064,6.2208514e-06,0.0012515263,0.00030664037,0.012316293,0.0,0.14065069,0.14065781,0.29966655,6.4348903,6.4349,0.0,0.06681447,0.09045295,0.096829824,-0.22210342,-0.09054455,0.0,36.20481600402282,138.25291541816696,52.091278,77.26736,2.827869,4.1713796,-0.22936387,-0.37329704,-3.14947,0.08206541,0.06816834,0.15784994,0.6472065,0.42466405,0.15830016,-2.3095026,benign flight
335799329,0.15777154,0.06731716,-0.07905488,0.27256787,0.0,0.0,0.0,-1.0,362048061,1382529197,49138,86235,1.0580001,1.7140001,0.71,1.2099999,105,32,0.141,-0.135,0.040000003,-0.25,0.0,0.0053879796,3.893841e-06,0.01625154,3.060311e-06,0.010831195,0.0,0.117266975,0.11728998,0.21358544,1.1668708,1.166871,0.0,-0.12568136,0.06210821,-0.29457986,-0.009448528,0.007121533,0.0,36.20480572795488,138.25291980826913,44.321198,86.41615,2.2379477,4.3704863,1.9601392,0.30580485,-0.06852259,-0.17087458,-0.028429711,-0.38355973,0.35257602,0.39056355,0.22540992,-2.4853597,gps jamming
530097481,0.1930727,0.060564723,-0.098699704,0.29758513,0.0,0.0,0.0,-1.0,362048244,1382529524,51937,89034,5.413,9.106001,0.71,1.2099999,147,29,1.12,-0.27400002,-1.0860001,0.384,2.8430917,0.05923193,5.5475e-06,0.00023659409,0.0015781979,0.015307395,0.0,1.0723346,1.0723187,2.29262,30.42763,30.427532,0.0,-0.26770082,1.2601141,-0.116449594,0.6761732,1.095681,0.0,36.20482933665654,138.2529646515098,43.80475,87.619644,2.6692896,4.38042,4.534558,4.268486,0.46699163,-0.5445134,0.34616852,0.15523703,1.4695079,0.4919498,0.33374998,-2.4685855,gps jamming
373297506,0.18110874,0.091639206,-0.07240273,0.26790947,0.0,0.0,0.0,-1.0,362048031,1382529209,48966,86062,1.4940001,2.3370001,0.71,1.2099999,103,22,0.004,0.002,-0.003,-0.001,1.4001862,0.0014041539,3.629219e-06,0.0004576068,0.00037381594,0.011134304,0.0,0.10197337,0.101973236,0.21397842,2.3073156,2.3073149,0.0,-0.05983024,-0.0188081,-0.049476758,0.14684272,0.012265563,0.0,36.20480424216197,138.25292082930244,44.372795,85.912415,2.2542534,4.371866,1.7930058,0.39303258,-0.12179768,-0.04357022,-0.03404051,-0.08690559,0.43635902,0.4042164,0.14485636,-2.4880514,gps jamming
691556438,0.08414971,0.07818979,-0.08514195,0.26170722,0.0,0.0,0.0,-1.0,362048293,1382529228,40215,77312,2.9280002,4.051,0.77,1.3399999,100,19,0.31,-0.15400001,-0.27,0.087000005,0.18628335,0.030776232,6.4476544e-06,0.0003232275,9.769238e-05,0.01748894,0.0,0.27038613,0.27042222,0.5582991,8.953945,8.953941,0.0,-0.45611036,0.08039163,0.06716726,-0.14787936,-0.053610384,0.0,36.204827750349615,138.25292245770987,52.2424,77.07671,2.8711812,4.177985,1.0841894,0.2564062,-3.2934856,-0.4866208,0.09343509,-0.002617724,0.80849,0.48276353,0.2300196,-2.310464,benign flight
